sentence_id,sentence,entities,chapter
90,""" Goodness gracious me ! "" exclaimed the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",1
1,""" Good evening , "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
2,But the Faun was so busy picking up his parcels that at first he did not reply .,"[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]",2
3,When he had finished he made her a little bow .,"[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]",2
4,""" Good evening , good evening , "" said the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
5,""" Excuse me -- I do n't want to be inquisitive -- but should I be right in thinking that you are a Daughter of Eve ? ""","[{""text"": ""I"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MISCELLANEOUS""}]",2
6,""" My name 's Lucy , "" said she , not quite understanding him .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""him"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]",2
7,""" But you are -- forgive me -- you are what they call a girl ? "" asked the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
8,""" Of course I 'm a girl , "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
9,""" You are in fact Human ? """,[],2
10,""" Of course I 'm human , "" said Lucy , still a little puzzled .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
11,""" To be sure , to be sure , "" said the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
12,""" How stupid of me !","[{""text"": ""me"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
13,But I 've never seen a Son of Adam or a Daughter of Eve before .,"[{""text"": ""I"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Son of Adam"", ""canonical"": ""MISCELLANEOUS"", ""label"": ""MISCELLANEOUS""}, {""text"": ""Daughter of Eve"", ""canonical"": ""MISCELLANEOUS"", ""label"": ""MISCELLANEOUS""}]",2
14,I am delighted .,"[{""text"": ""I"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
15,"That is to say -- "" and then he stopped as if he had been going to say something he had not intended but had remembered in time .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]",2
16,""" Delighted , delighted , "" he went on .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
17,""" Allow me to introduce myself .","[{""text"": ""me"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
18,"My name is Tumnus . ""","[{""text"": ""Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
19,""" I am very pleased to meet you , Mr. Tumnus , "" said Lucy .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
20,""" And may I ask , O Lucy , Daughter of Eve , "" said Mr. Tumnus , "" how you have come into Narnia ? ""","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
21,""" Narnia ?",[],2
22,"What 's that ? "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
23,""" This is the land of Narnia , "" said the Faun , "" where we are now ; all that lies between the lamp - post and the great castle of Cair Paravel on the eastern sea .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
24,"And you -- you have come from the wild woods of the west ? """,[],2
25,""" I -- I got in through the wardrobe in the spare room , "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
26,""" Ah ! "" said Mr. Tumnus in a rather melancholy voice , "" if only I had worked harder at geography when I was a little Faun , I should no doubt know all about those strange countries .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
27,"It is too late now . """,[],2
28,""" But they are n't countries at all , "" said Lucy , almost laughing .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
29,""" It 's only just back there -- at least -- I 'm not sure .",[],2
30,"It is summer there . """,[],2
31,""" Meanwhile , "" said Mr. Tumnus , "" it is winter in Narnia , and has been for ever so long , and we shall both catch cold if we stand here talking in the snow .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
32,"Daughter of Eve from the far land of Spare Oom where eternal summer reigns around the bright city of War Drobe , how would it be if you came and had tea with me ? ""","[{""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}]",2
33,""" Thank you very much , Mr. Tumnus , "" said Lucy .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
34,""" But I was wondering whether I ought to be getting back . """,[],2
35,""" It 's only just round the corner , "" said the Faun , "" and there 'll be a roaring fire -- and toast -- and sardines -- and cake . ""","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
36,""" Well , it 's very kind of you , "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
37,""" But I sha n't be able to stay long . """,[],2
38,""" If you will take my arm , Daughter of Eve , "" said Mr. Tumnus , "" I shall be able to hold the umbrella over both of us .","[{""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
39,That 's the way .,[],2
40,"Now -- off we go . """,[],2
41,And so Lucy found herself walking through the wood arm in arm with this strange creature as if they had known one another all their lives .,"[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""creature"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]",2
42,They had not gone far before they came to a place where the ground became rough and there were rocks all about and little hills up and little hills down .,"[{""text"": ""They"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""They"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",2
43,"At the bottom of one small valley Mr. Tumnus turned suddenly aside as if he were going to walk straight into an unusually large rock , but at the last moment Lucy found he was leading her into the entrance of a cave .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",2
44,As soon as they were inside she found herself blinking in the light of a wood fire .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",2
45,"Then Mr. Tumnus stooped and took a flaming piece of wood out of the fire with a neat little pair of tongs , and lit a lamp .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]",2
46,""" Now we sha n't be long , "" he said , and immediately put a kettle on .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
47,Lucy thought she had never been in a nicer place .,"[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",2
48,"It was a little , dry , clean cave of reddish stone with a carpet on the floor and two little chairs ( "" one for me and one for a friend , "" said Mr. Tumnus ) and a table and a dresser and a mantelpiece over the fire and above that a picture of an old Faun with a grey beard .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""old Faun"", ""canonical"": ""Mr. Tumnus's father"", ""label"": ""MENTIONED_ONLY""}]",2
49,"In one corner there was a door which Lucy thought must lead to Mr. Tumnus ' bedroom , and on one wall was a shelf full of books .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]",2
50,Lucy looked at these while he was setting out the tea things .,"[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]",2
51,"They had titles like _The Life and Letters of Silenus_ or _Nymphs and Their Ways_ or _Men , Monks and Gamekeepers ; a Study in Popular Legend_ or _Is Man a Myth_ ?","[{""text"": ""Silenus"", ""canonical"": ""Silenus"", ""label"": ""MENTIONED_ONLY""}]",2
52,""" Now , Daughter of Eve ! "" said the Faun .","[{""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
53,And really it was a wonderful tea .,[],2
54,"There was a nice brown egg , lightly boiled , for each of them , and then sardines on toast , and then buttered toast , and then toast with honey , and then a sugar - topped cake .",[],2
55,And when Lucy was tired of eating the Faun began to talk .,"[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
56,He had wonderful tales to tell of life in the forest .,"[{""text"": ""He"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
57,"He told about the midnight dances and how the Nymphs who lived in the wells and the Dryads who lived in the trees came out to dance with the Fauns ; about long hunting parties after the milk - white Stag who could give you wishes if you caught him ; about feasting and treasure - seeking with the wild Red Dwarfs in deep mines and caverns far beneath the forest floor ; and then about summer when the woods were green and old Silenus on his fat donkey would come to visit them , and sometimes Bacchus himself , and then the streams would run with wine instead of water and the whole forest would give itself up to jollification for weeks on end .","[{""text"": ""He"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Nymphs"", ""canonical"": ""Nymphs"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Dryads"", ""canonical"": ""Dryads"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Fauns"", ""canonical"": ""Fauns"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Stag"", ""canonical"": ""White Stag"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Red Dwarfs"", ""canonical"": ""Red Dwarfs"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Silenus"", ""canonical"": ""Silenus"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Bacchus"", ""canonical"": ""Bacchus"", ""label"": ""MENTIONED_ONLY""}]",2
58,""" Not that it is n't always winter now , "" he added gloomily .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]",2
59,Then to cheer himself up he took out from its case on the dresser a strange little flute that looked as if it were made of straw and began to play .,"[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]",2
60,And the tune he played made Lucy want to cry and laugh and dance and go to sleep all at the same time .,"[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",2
61,"It must have been hours later when she shook herself and said ,","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",2
62,""" Oh Mr. Tumnus -- I 'm so sorry to stop you , and I do love that tune -- but really , I must go home .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}, {""text"": ""I"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
63,"I only meant to stay for a few minutes . ""","[{""text"": ""I"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",2
64,""" It 's no good _now_ , you know , "" said the Faun , laying down his flute and shaking his head at her very sorrowfully .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]",2
