sample_id,sentence_id,sentence
1,60,"This must be a simply enormous wardrobe ! thought Lucy , going still further in and pushing the soft folds of the coats aside to make room for her ."
1,61,The others will be wondering what has happened to me .
1,62,That is to say --  and then he stopped as if he had been going to say something he had not intended but had remembered in time
1,63,Foxes ! said Susan .
1,64,"As she stood looking at it , wondering why there was a lamp - post in the middle of a wood and wondering what to do next , she heard a pitter patter of feet coming towards her ."
1,65,"Ah !  said Mr. Tumnus in a rather melancholy voice , "" if only I had worked harder at geography when I was a little Faun , I should no doubt know all about those strange countries ."
1,66,"No there wo n't , said Peter ."
1,67,"Trying to talk like Mother , said Edmund ."
1,68,You are the nicest Faun I 've ever met .
1,69,And really it was a wonderful tea .
1,70,"Dear Mr. Tumnus , do tell me what is wrong ."
1,71,"Why , it is just like branches of trees ! exclaimed Lucy ."
1,72,Mr. Tumnus !  said Lucy in great distress .
1,73,"I am very pleased to meet you , Mr. Tumnus ,  said Lucy ."
1,74,Everyone agreed to this and that was how the adventures began .
1,75,Lucy thought she had never been in a nicer place .
1,76,"Well , it 's very kind of you ,  said Lucy ."
1,77,"Looking into the inside , she saw several coats hanging up -- mostly long fur coats ."
1,78,"They had titles like _The Life and Letters of Silenus_ or _Nymphs and Their Ways_ or _Men , Monks and Gamekeepers ; a Study in Popular Legend_ or _Is Man a Myth_ ?"
1,79,But I sha n't be able to stay long .
1,80,"Then Mr. Tumnus stooped and took a flaming piece of wood out of the fire with a neat little pair of tongs , and lit a lamp ."
1,81,"You ought to be ashamed of yourself , a great big Faun like you ."
1,82,Do stop .
1,83,"Not that it is n't always winter now ,  he added gloomily ."
1,84,There might be eagles .
1,85,There 's sure to be a row if we 're heard talking here .
1,86,What on earth are you crying about ?
1,87,But I was wondering whether I ought to be getting back .
1,88,"I do n't think you 're a bad Faun at all ,  said Lucy ."
1,89,"But instead of feeling the hard , smooth wood of the floor of the wardrobe , she felt something soft and powdery and extremely cold , "" This is very queer , "" she said , and went on a step or two further ."
1,90,"One of his hands , as I have said , held the umbrella : in the other arm he carried several brown paper parcels ."
1,91,"No , I 'm a bad Faun ."
1,92,"Delighted , delighted ,  he went on ."
1,93,"Oh -- oh -- you would n't say that if you knew ,  replied Mr. Tumnus between his sobs ."
1,94,It seemed to be still daylight there .
1,95,This is going to be a wonderful place for birds .
1,96,A thing like what ?  said Lucy .
1,97,"This is the land of Narnia ,  said the Faun , "" where we are now ; all that lies between the lamp - post and the great castle of Cair Paravel on the eastern sea ."
1,98,"Nothing there ! said Peter , and they all trooped out again -- all except Lucy ."
1,99,But the Faun continued sobbing as if his heart would break .
1,100,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )"
1,101,"I say , let 's go and explore to - morrow ."
1,102,"He would never have done a thing like this . """
1,103,How stupid of me !
1,104,"To be sure , to be sure , said the Faun ."
1,105,"At the bottom of one small valley Mr. Tumnus turned suddenly aside as if he were going to walk straight into an unusually large rock , but at the last moment Lucy found he was leading her into the entrance of a cave ."
1,106,"It 's only just round the corner ,  said the Faun , "" and there 'll be a roaring fire -- and toast -- and sardines -- and cake . """
1,107,"Look at me , Daughter of Eve ."
1,108,"Now we sha n't be long ,  he said , and immediately put a kettle on ."
1,109,What do you mean ?
1,110,"Meanwhile ,  said Mr. Tumnus , "" it is winter in Narnia , and has been for ever so long , and we shall both catch cold if we stand here talking in the snow ."
1,111,"If you will take my arm , Daughter of Eve ,  said Mr. Tumnus , "" I shall be able to hold the umbrella over both of us ."
1,112,"The first few doors they tried led only into spare bedrooms , as everyone had expected that they would ; but soon they came to a very long room full of pictures and there they found a suit of armour ; and after that was a room all hung with green , with a harp in one corner ; and then came three steps down and five steps up , and then a kind of little upstairs hall and a door that led out onto a balcony , and then a whole series of rooms that led into each other and were lined with books -- most of them very old books and some bigger than a Bible in a church ."
1,113,"In one corner there was a door which Lucy thought must lead to Mr. Tumnus ' bedroom , and on one wall was a shelf full of books ."
1,114,"Oh Mr. Tumnus -- I 'm so sorry to stop you , and I do love that tune -- but really , I must go home ."
1,115,"It must have been hours later when she shook herself and said ,"
1,116,As soon as they were inside she found herself blinking in the light of a wood fire .
1,117,A moment later she found that she was standing in the middle of a wood at night - time with snow under her feet and snowflakes falling through the air .
1,118,"Anyway , they wo n't hear us ."
1,119,He had a red woollen muffler round his neck and his skin was rather reddish too .
1,120,And soon after that a very strange person stepped out from among the trees into the light of the lamp - post .
1,121,That old chap will let us do anything we like .
1,122,"He had a strange , but pleasant little face with a short pointed beard and curly hair , and out of the hair there stuck two horns , one on each side of his forehead ."
1,123,"Would you believe that I 'm the sort of Faun to meet a poor innocent child in the wood , one that had never done me any harm , and pretend to be friendly with it , and invite it home to my cave , all for the sake of lulling it asleep and then handing it over to the White Witch ?"
1,124,"Daughter of Eve from the far land of Spare Oom where eternal summer reigns around the bright city of War Drobe , how would it be if you came and had tea with me ? """
1,125,But the Faun was so busy picking up his parcels that at first he did not reply .
1,126,There might be stags .
1,127,He was a Faun .
1,128,"To her surprise it opened quite easily , and two moth - balls dropped out ."
1,129,When he had finished he made her a little bow .
1,130,But you are -- forgive me -- you are what they call a girl ? asked the Faun .
1,131,"They had just finished breakfast with the Professor and were upstairs in the room he had set apart for them -- a long , low room with two windows looking out in one direction and two in another ."
1,132,"My name 's Lucy , said she , not quite understanding him ."
1,133,It 's only just back there -- at least -- I 'm not sure .
1,134,What is the matter ?
1,135,"But a moment later she asked , "" Mr. Tumnus !"
1,136,"It 's only a bird , silly , said Edmund ."
1,137,I do n't suppose there ever was a worse Faun since the beginning of the world
1,138,Then to cheer himself up he took out from its case on the dresser a strange little flute that looked as if it were made of straw and began to play .
1,139,"She began to walk forward , _crunch - crunch_ , over the snow and through the wood towards the other light ."
1,140,She took a step further in -- then two or three steps -- always expecting to feel woodwork against the tips of her fingers .
1,141,Taken service under the White Witch .
1,142,Had n't we all better go to bed ? said Lucy .
1,143,And shortly after that they looked into a room that was quite empty except for one big wardrobe ; the sort that has a looking - glass in the door .
1,144,Excuse me -- I do n't want to be inquisitive -- but should I be right in thinking that you are a Daughter of Eve ?
1,145,In about ten minutes she reached it and found that it was a lamp - post .
1,146,"There was a nice brown egg , lightly boiled , for each of them , and then sardines on toast , and then buttered toast , and then toast with honey , and then a sugar - topped cake ."
1,147,I tell you this is the sort of house where no one 's going to mind what we do .
1,148,You are in fact Human ?
1,149,Did you see those mountains as we came along ?
1,150,Lucy looked at these while he was setting out the tea things .
1,151,It is summer there .
1,152,"Oh , come off it ! said Edmund , who was tired and pretending not to be tired , which always made him bad - tempered ."
1,153,Something cold and soft was falling on her .
1,154,"Good evening , said Lucy ."
1,155,"Good evening , good evening , said the Faun ."
1,156,It was a far larger house than she had ever been in before and the thought of all those long passages and rows of doors leading into empty rooms was beginning to make her feel a little creepy .
1,157,"Of course I 'm human , said Lucy , still a little puzzled ."
1,158,"My old father , now ,  said Mr. Tumnus , "" that 's his picture over the mantelpiece ."
1,159,"That 's the worst of it ,  said Mr. Tumnus with a deep groan ."
1,160,And when he saw Lucy he gave such a start of surprise that he dropped all his parcels .
1,161,But what have you done ?  asked Lucy .
1,162,"But when next morning came , there was a steady rain falling , so thick that when you looked out of the window you could see neither the mountains nor the woods nor even the stream in the garden ."
1,163,"He merely took the handkerchief and kept on using it , wringing it out with both hands whenever it got too wet to be any more use , so that presently Lucy was standing in a damp patch ."
1,164,Goodness gracious me ! exclaimed the Faun .
1,165,"Like what I 've done ,  said the Faun ."
1,166,Of course it _would_ be raining ! said Edmund .
1,167,This story is about something that happened to them when they were sent away from London during the war because of the air - raids .
1,168,"( She had , of course , left the door open , for she knew that it is a very silly thing to shut oneself into a wardrobe . )"
1,169,I only meant to stay for a few minutes .
1,170,"It is too late now . """
1,171,Soon she went further in and found that there was a second row of coats hanging up behind the first one .
1,172,"And may I ask , O Lucy , Daughter of Eve ,  said Mr. Tumnus , "" how you have come into Narnia ? """
1,173,I 'm in the pay of the White Witch .
1,174,"And even when Lucy went over and put her arms round him and lent him her handkerchief , he did not stop ."
1,175,There was nothing else in the room at all except a dead blue - bottle on the window - sill .
1,176,He had wonderful tales to tell of life in the forest .
1,177,"I 'm a kidnapper for her , that 's what I am ."
1,178,I 've got to go home at once .
1,179,They had not gone far before they came to a place where the ground became rough and there were rocks all about and little hills up and little hills down .
1,180,But she could not feel it .
1,181,"There was nothing Lucy liked so much as the smell and feel of fur. She immediately stepped into the wardrobe and got in among the coats and rubbed her face against them , leaving the door open , of course , because she knew that it is very foolish to shut oneself into any wardrobe ."
1,182,What 's that noise ? said Lucy suddenly .
1,183,"We 've fallen on our feet and no mistake , said Peter ."
1,184,This is going to be perfectly splendid .
1,185,Narnia ?
1,186,"It 's no good _now_ , you know ,  said the Faun , laying down his flute and shaking his head at her very sorrowfully ."
1,187,"It 's about ten minutes ' walk from here down to that dining room , and any amount of stairs and passages in between"
1,188,"Now , Daughter of Eve !  said the Faun ."
1,189,"Oh -- oh -- oh !  sobbed Mr. Tumnus , "" I 'm crying because I 'm such a bad Faun . """
1,190,"It 's an owl , said Peter ."
1,191,The White Witch ?
1,192,There 'll be hawks .
1,193,It was almost quite dark in there and she kept her arms stretched out in front of her so as not to bump her face into the back of the wardrobe .
1,194,"I wonder is that more moth - balls ? she thought , stooping down to feel it with her hands ."
1,195,"She looked back over her shoulder and there , between the dark tree - trunks , she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out ."
1,196,Who is she ?
1,197,"As soon as they had said good night to the Professor and gone upstairs on the first night , the boys came into the girls ' room and they all talked it over ."
1,198,I shall go to bed now .
1,199,Are n't you well ?
